ID,Start time,Completion time,Email,Name,Last modified time,Full Name,E-mail (please enter your Loomis e-mail address),Identifier,Year of Graduation,Room Preference,Matched Roommate's Name,Dorm Preference,One Student,One Student,One Student,One Student,One Student,One Student,One Student,One Student,Freshman Year,Freshman Year2
1,5/16/23 20:11,5/16/23 20:22,placeholderemail@internal.loomis.org,iugouthfzt,,xprovovboi,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,kzqjhaaaxi,Kravis;Harman;All Gender Housing;Carter;,wztghsiwqw,mutcymoyww,rwaatbqpcw,wwvynywchg,qevgkndrti,ijczazphgc, ,,Carter,Double
2,5/16/23 20:14,5/16/23 20:23,placeholderemail@internal.loomis.org,kzqjhaaaxi,,kzqjhaaaxi,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,xprovovboi,Kravis;Harman;Carter;All Gender Housing;,xprovovboi,wztghsiwqw,pcfixmrvdq,cnbsxvylte,qevgkndrti,vcbbsjgvxo,,,Carter,Double
3,5/16/23 20:12,5/16/23 20:24,placeholderemail@internal.loomis.org,ijczazphgc,,ijczazphgc,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,pljqlyblom,Kravis;Carter;Harman;All Gender Housing;,ffbhzhmjpy,yoazpscuxc,ujrecgtwrv,cnbsxvylte,ojpbfdenzj,jxuwvupffv,ggpkvgfeew,pcfixmrvdq,Carter,Double
4,5/16/23 20:11,5/16/23 20:24,placeholderemail@internal.loomis.org,ffbhzhmjpy,,ffbhzhmjpy,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,daecegrgcb,Kravis;Harman;Carter;All Gender Housing;,ijczazphgc,yoazpscuxc,hrqrraiqol,ojpbfdenzj,jxuwvupffv,cnbsxvylte,ujrecgtwrv,uafneulwzg,Carter,Double
5,5/16/23 20:51,5/16/23 21:00,placeholderemail@internal.loomis.org,ojpbfdenzj,,ojpbfdenzj,placeholderemail@loomis.org,Male,2026,Single;Double;Triple;,cnbsxvylte,Kravis;Carter;Harman;All Gender Housing;,cnbsxvylte,gqbjtapfaj,ffbhzhmjpy,unhjvndbva,qpbhpcjkaz,qevgkndrti,pcfixmrvdq,efzmwtxggj,Carter,Double
7,5/16/23 22:09,5/16/23 22:19,placeholderemail@internal.loomis.org,yoazpscuxc,,yoazpscuxc,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,wqcwbruzcp,Kravis;Carter;Harman;All Gender Housing;,ffbhzhmjpy,ijczazphgc,hrqrraiqol,pcfixmrvdq,daecegrgcb,uafneulwzg,ojpbfdenzj,cnbsxvylte,Carter,Double
8,5/16/23 22:39,5/16/23 22:40,placeholderemail@internal.loomis.org,pcfixmrvdq,,pcfixmrvdq,placeholderemail@loomis.org,Male,2026,Double;Triple;Single;,efzmwtxggj,Kravis;Carter;Harman;All Gender Housing;,cnbsxvylte,upfdyxlpjv,wwvynywchg,qevgkndrti,yoazpscuxc,wqcwbruzcp,hnafmuuiju,qrnqbnwyex,Carter,Double
9,5/16/23 22:31,5/16/23 22:49,placeholderemail@internal.loomis.org,uafneulwzg,,uafneulwzg,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,mbgukmdyqa,Kravis;Harman;Carter;All Gender Housing;,sxtyxejpmu,qmqshbhjfm,lxibbnppjs,daecegrgcb,vwyodqpxkf,ijczazphgc,ffbhzhmjpy,yoazpscuxc,Carter,Double
10,5/16/23 20:21,5/16/23 22:55,placeholderemail@internal.loomis.org,wwvynywchg,,wwvynywchg,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,cnbsxvylte,Kravis;Carter;All Gender Housing;Harman;,vcbbsjgvxo,xntxutnips,gqbjtapfaj,pcfixmrvdq,owhufoytts,txxtghykob,ltruawpzry,qtcmtsbdvv,Carter,Double
11,5/16/23 22:51,5/16/23 22:56,placeholderemail@internal.loomis.org,cnbsxvylte,,cnbsxvylte,placeholderemail@loomis.org,Male,2026,Double;Single;Triple;,wwvynywchg,Kravis;Carter;Harman;All Gender Housing;,pcfixmrvdq,gqbjtapfaj,yoazpscuxc,wwvynywchg,uafneulwzg,qpbhpcjkaz,aigjqbujbd,efzmwtxggj,Carter,Double
