ID,Start time,Completion time,Email,Name,Last modified time,Full Name,E-mail (please enter your Loomis e-mail address),Identifier,Year of Graduation,Room Preference,Matched Roommate's Name,Dorm Preference,One Student,One Student2,One Student3,One Student4,One Student5,One Student6,One Student7,One Student8,Freshman,Sophomore,Junior,Freshman Year,Sophomore Year,Junior Year
1,5/16/23 10:29:20,5/16/23 10:42:03,placeholderemail@internal.loomis.org,wcqvmcweiz,,wcqvmcweiz,placeholderemail@loomis.org,Self-Identify,2024,Single;Double;Triple;,,Taylor;All Gender Housing;Batchelder;Warham;Carter ;Kravis ;Harman ;,bitvnjcawr,yandbxlnsb,becvhzcwxo,cvlmwxxeaj,sbakgdqqvm,phvkxcbvvn,,,Carter,Harman,Taylor,Double,Single,Single
2,5/16/23 20:39:57,5/16/23 20:42:25,placeholderemail@internal.loomis.org,mwncqojjdx,,mwncqojjdx,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,yactfvtlhi,Kravis ;Batchelder;Warham;Taylor;Harman ;Carter ;All Gender Housing;,yactfvtlhi,pnuhxrgnqr,mqrxwoweby,czhgtcltfq,xfgejbofwn,mjkzqzjxdq,dinlxnumic,xjzkvdeogx,Harman,Carter,Kravis,Double,Double,
3,5/16/23 22:15:13,5/16/23 22:22:32,placeholderemail@internal.loomis.org,lpjrryndrz,,lpjrryndrz,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,vblqucknqi,Warham;Batchelder;Kravis ;Harman ;Carter ;Taylor;All Gender Housing;,vblqucknqi,kuzxyadimh,lootmugaao,hkjinpfjet,yymfmnsqcf,igzuwfrayg,ebinsfefcs,ybkmgtjmkd,Carter,Harman,Kravis,,Double,Single
4,5/16/23 23:14:28,5/16/23 23:17:19,placeholderemail@internal.loomis.org,itpiavmkuo,,itpiavmkuo,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,wwwjqoacpe,Batchelder;All Gender Housing;Warham;Taylor;Harman ;Carter ;Kravis ;,,,,,,,,,Harman,Harman,Carter,,Double,Single
5,5/17/23 9:46:53,5/17/23 9:54:50,placeholderemail@internal.loomis.org,pnuhxrgnqr,,pnuhxrgnqr,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,,Kravis ;Batchelder;Carter ;Warham;Taylor;Harman ;All Gender Housing;,plmdujvamk,abtpsxbbsd,dckauzivyd,jtxjlhfirh,odwbmtcjdu,vzmgkaufvr,zyeoyrwwsr,xwqeberzkd,Carter,Carter,Kravis,Double,Double,Single
6,5/17/23 11:30:07,5/17/23 11:40:56,placeholderemail@internal.loomis.org,ybkmgtjmkd,,ybkmgtjmkd,placeholderemail@loomis.org,Male,2024,Double;Single;Triple;,yymfmnsqcf,Batchelder;Warham;Taylor;Kravis ;All Gender Housing;Carter ;Harman ;,vzfihfkmzs,xatmncxsfe,igzuwfrayg,boehwawxfs,wzsinzeekq,zlcfipzqyg,lootmugaao,,Batchelder,Batchelder,Batchelder,,,Double
7,5/17/23 9:36:20,5/17/23 11:49:34,placeholderemail@internal.loomis.org,yymfmnsqcf,,yymfmnsqcf,placeholderemail@loomis.org,Male,2024,Double;Single;Triple;,ybkmgtjmkd,Batchelder;Warham;Taylor;Kravis ;All Gender Housing;Harman ;Carter ;,vzfihfkmzs,xatmncxsfe,igzuwfrayg,boehwawxfs,wzsinzeekq,zlcfipzqyg,lootmugaao,rvtgqljvjf,Carter,Carter,Carter,,Double,Single
8,5/17/23 11:57:42,5/17/23 12:03:48,placeholderemail@internal.loomis.org,cnxthrrrox,,cnxthrrrox,placeholderemail@loomis.org,Male,2024,Single;Double;Triple;,olskgkzbbr,Taylor;Batchelder;Warham;All Gender Housing;Carter ;Kravis ;Harman ;,olskgkzbbr,olskgkzbbr,olskgkzbbr,olskgkzbbr,olskgkzbbr,olskgkzbbr,olskgkzbbr,olskgkzbbr,Kravis,Kravis,Carter,Single,Double,Single
9,5/17/23 11:39:13,5/17/23 16:34:05,placeholderemail@internal.loomis.org,nlqqbtwxot,,nlqqbtwxot,placeholderemail@loomis.org,Male,2024,Single;Triple;Double;,vslmgsjihw,Batchelder;Taylor;Warham;All Gender Housing;Harman ;Carter ;Kravis ;,vslmgsjihw,jklcgislec,cjrtnelnvy,joaxuqofow,gnjpgjpxdr,krgzvwlbcf,bitvnjcawr,yandbxlnsb,Harman,Harman,Warham,Single,Single,Single
10,5/17/23 17:12:05,5/17/23 17:15:37,placeholderemail@internal.loomis.org,wexhxdnqpn,,wexhxdnqpn,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,,Carter ;Kravis ;Harman ;Batchelder;Warham;Taylor;All Gender Housing;,,,,,,,,,Carter,Carter,Carter,,Double,
11,5/17/23 14:41:28,5/17/23 18:12:34,placeholderemail@internal.loomis.org,jklcgislec,,jklcgislec,placeholderemail@loomis.org,Male,2024,Triple;Single;Double;,nlqqbtwxot,Batchelder;Taylor;Warham;All Gender Housing;Harman ;Carter ;Kravis ;,nlqqbtwxot,vslmgsjihw,cjrtnelnvy,krgzvwlbcf,bfkajdwqya,gepayqhywk,hxuqqjiuhp,ynxwpyyhtn,Kravis,Kravis,Batchelder,,Double,Double
12,5/17/23 19:58:01,5/17/23 19:58:24,placeholderemail@internal.loomis.org,otggohncjd,,otggohncjd,placeholderemail@loomis.org,Male,2025,Single;Double;Triple;,igzuwfrayg,Batchelder;Warham;Taylor;Harman ;Carter ;Kravis ;All Gender Housing;,jllyydygsq,gjbfhumyeh,viujtibxxn,stwhwmjgcq,ewntpfzyba,rvtgqljvjf,uttuuhzkaa,dsrodjdaly,Carter,Carter,Batchelder,,Double,
